
@relation 'Luv'
@attribute x real
@attribute y real
@attribute L real
@attribute U real
@attribute V real
@data
0,0,45.127953,-9.496710,-13.769419
0,1,49.457129,-9.808497,-11.814312
0,2,50.727236,-10.833709,-13.387255
0,3,48.770398,-9.497199,-16.181270
0,4,48.280338,-9.606379,-16.367289
0,5,48.770398,-9.497199,-16.181270
0,6,49.865733,-11.116564,-15.333325
0,7,51.918873,-11.776745,-14.075822
0,8,53.462246,-10.270193,-14.890903
0,9,51.727786,-10.681645,-15.487473
0,10,52.169711,-10.574791,-15.332545
0,11,52.945675,-10.976901,-15.186511
0,12,54.621561,-10.571756,-14.625993
0,13,54.210060,-10.669378,-14.761054
0,14,54.210060,-10.669378,-14.761054
0,15,55.828153,-10.292281,-14.239340
0,16,55.686808,-10.814528,-12.925760
0,17,56.858666,-10.536900,-12.593932
0,18,56.472250,-10.627367,-12.702061
0,19,56.389604,-11.192052,-12.839090
0,20,56.776896,-11.096559,-12.729544
0,21,56.858666,-10.536900,-12.593932
0,22,58.126687,-9.786735,-13.539920
0,23,58.180194,-9.839611,-14.913204
0,24,58.205511,-9.247404,-13.407946
0,25,59.224351,-9.557150,-13.222289
0,26,58.312961,-10.758857,-13.006240
0,27,59.044680,-10.589535,-12.801549
0,28,57.753478,-9.866503,-13.650278
0,29,56.692702,-9.558127,-13.858469
0,30,56.221474,-10.203317,-14.116259
0,31,55.287548,-10.911379,-13.041517
0,32,54.883766,-11.010519,-13.160012
0,33,57.346920,-7.859508,-14.038103
0,34,57.833101,-9.322610,-13.516989
0,35,57.914718,-10.822343,-12.414974
0,36,59.095513,-10.033321,-11.992044
0,37,60.290883,-9.341062,-12.923332
0,38,62.173178,-9.905416,-11.974526
0,39,62.811646,-9.742698,-11.176446
0,40,60.238262,-7.348084,-12.519620
0,41,59.938696,-9.411671,-13.021020
0,42,61.207797,-10.170787,-13.532826
0,43,59.989683,-9.465782,-14.346618
0,44,59.224351,-9.557150,-13.222289
0,45,57.619436,-10.361828,-12.384683
0,46,61.733454,-3.626044,-10.103232
0,47,70.124321,0.293057,-7.241011
0,48,77.557071,2.330660,-6.788863
0,49,80.975469,3.797916,-6.931343
0,50,82.725518,4.005919,-6.647047
0,51,83.496059,4.879956,-6.788475
0,52,85.017896,5.341039,-6.900660
0,53,86.119781,5.035889,-5.581333
0,54,87.088835,4.951760,-5.488092
0,55,88.054687,3.713422,-5.245190
0,56,87.606460,5.772770,-5.656167
0,57,88.040005,4.871168,-5.398771
0,58,89.040470,4.300428,-4.234118
0,59,89.252006,3.504332,-3.207858
0,60,89.435869,3.493320,-3.197778
0,61,89.252006,3.504332,-3.207858
0,62,89.880148,2.950417,-2.504680
0,63,90.023284,2.654506,-2.560345
0,64,90.307354,3.154788,-3.211960
0,65,91.076744,1.590766,-1.199365
0,66,90.332696,3.471303,-2.756159
0,67,90.487593,3.145154,-3.202151
0,68,90.256994,1.811499,-2.340469
0,69,89.880148,2.950417,-2.504680
0,70,89.854589,2.631499,-2.964332
0,71,89.672182,2.639706,-2.973577
0,72,89.489143,2.647979,-2.982896
0,73,89.253406,2.733686,-5.721261
0,74,89.281026,1.570176,-5.965794
0,75,89.081526,3.095911,-4.879636
0,76,88.524229,3.125563,-4.926373
0,77,89.334456,0.727917,-5.750021
0,78,89.518032,0.725652,-5.732132
0,79,89.004008,1.405910,-4.461123
0,80,89.687802,0.752773,-5.321943
0,81,89.700971,0.723406,-5.714386
0,82,88.937587,1.901964,-5.540138
0,83,88.818626,1.410377,-4.475298
0,84,89.504817,0.755114,-5.338496
0,85,89.830401,1.555626,-5.910514
0,86,90.102437,2.091483,-6.151839
0,87,90.593362,0.741341,-5.241123
0,88,90.075244,3.238797,-5.910929
0,89,89.893597,3.248747,-5.929088
0,90,90.075244,3.238797,-5.910929
0,91,90.269299,3.197561,-6.280658
0,92,90.178360,3.743525,-6.557956
0,93,89.879420,4.368992,-6.077676
0,94,89.605171,4.935267,-6.376400
0,95,90.151206,4.889989,-6.317900
0,96,89.565217,5.740650,-6.982451
0,97,89.800953,4.886851,-6.746797
0,98,89.930140,5.705427,-6.939608
0,99,89.512021,6.580220,-7.197495
1,0,44.855297,-10.965228,-13.207591
1,1,48.561171,-10.090245,-13.815283
1,2,50.793251,-10.880710,-15.008007
1,3,49.899626,-11.138841,-16.150368
1,4,49.728868,-9.288179,-15.825141
1,5,50.660172,-9.090693,-15.488667
1,6,50.793251,-10.880710,-15.008007
1,7,52.076281,-11.195143,-15.488447
1,8,53.036767,-10.369173,-15.034416
1,9,52.945675,-10.976901,-15.186511
1,10,52.945675,-10.976901,-15.186511
1,11,54.210060,-10.669378,-14.761054
1,12,55.028322,-10.476421,-14.494098
1,13,55.828153,-10.292281,-14.239340
1,14,56.221474,-10.203317,-14.116259
1,15,56.417666,-11.214917,-13.557564
1,16,56.221474,-10.203317,-14.116259
1,17,55.430476,-10.383290,-14.365251
1,18,56.417666,-11.214917,-13.557564
1,19,57.160109,-11.003158,-12.622398
1,20,56.776896,-11.096559,-12.729544
1,21,58.680613,-10.673323,-12.902839
1,22,58.862033,-9.632113,-13.326000
1,23,59.276310,-9.610826,-14.566451
1,24,60.166968,-10.397633,-13.834659
1,25,58.914496,-9.685543,-14.679694
1,26,58.180194,-9.839611,-14.913204
1,27,59.095513,-10.033321,-11.992044
1,28,57.160109,-11.003158,-12.622398
1,29,56.804661,-11.119696,-13.442453
1,30,56.804661,-11.119696,-13.442453
1,31,54.825160,-10.963495,-11.664269
1,32,56.804661,-11.119696,-13.442453
1,33,58.862033,-9.632113,-13.326000
1,34,58.862033,-9.632113,-13.326000
1,35,57.941635,-10.846198,-13.111825
1,36,59.224351,-9.557150,-13.222289
1,37,60.341401,-9.395364,-14.239890
1,38,60.341401,-9.395364,-14.239890
1,39,61.668126,-9.071823,-12.550841
1,40,62.553358,-9.887466,-13.155852
1,41,62.551440,-8.052023,-14.029496
1,42,62.076098,-8.512657,-12.342626
1,43,60.238262,-7.348084,-12.519620
1,44,60.262231,-6.768491,-11.061871
1,45,64.615634,-3.331152,-8.260920
1,46,74.956203,0.943088,-7.449723
1,47,79.544826,3.245527,-6.792480
1,48,80.692590,6.525350,-6.393546
1,49,81.908373,6.928546,-7.460780
1,50,83.169166,6.774082,-7.294450
1,51,84.701992,6.000053,-6.805743
1,52,84.902795,5.978912,-6.781764
1,53,85.201932,6.535378,-7.037410
1,54,86.868299,5.777593,-6.553411
1,55,87.742987,5.094378,-6.581972
1,56,87.851163,4.887015,-5.416334
1,57,88.749106,4.518544,-5.396040
1,58,89.146695,3.708054,-4.351045
1,59,89.423331,3.140211,-4.057175
1,60,89.028208,3.224430,-3.282864
1,61,88.656958,3.245067,-3.303875
1,62,89.435869,3.493320,-3.197778
1,63,89.619092,3.482397,-3.187779
1,64,90.036369,2.623358,-2.955161
1,65,90.023284,2.654506,-2.560345
1,66,90.204488,2.646321,-2.552451
1,67,90.256994,1.811499,-2.340469
1,68,90.204488,2.646321,-2.552451
1,69,90.204488,2.646321,-2.552451
1,70,89.698524,2.577151,-3.765804
1,71,89.449798,3.076542,-4.849107
1,72,88.616984,3.677777,-5.194840
1,73,88.417444,3.331292,-6.079736
1,74,89.215323,1.340941,-5.240843
1,75,89.122550,1.895979,-5.522704
1,76,88.937587,1.901964,-5.540138
1,77,89.596920,0.204731,-5.058596
1,78,89.321196,0.757475,-5.355183
1,79,89.306865,1.890043,-5.505412
